"","country","population","surface_area","population_density","gross_national_income_atlas_method","gross_national_income_per_capita_atlas_method","purchasing_power_parity_gross_national_income","PPP Income per cap","gross_domestic_product"," GDP growth per cap "," Share of Income (<20%)"," Child malnutrition (%)","maternal_mortality_ratio","under_five_mortality_rate"," HIV (per 1000)"," Tuberculosis (per 100k)"," Road Mortality (per 100k)","primary_completion_rate"," Male employment (%)"," Female employment (%)","labor_productivity"," Pop. Access Water (%)"," Pop. Access Sanitary (%)","access_to_electricity","renewable_energy_consumption","expenditures_for_r_d"," Slums Pop.(%)","ambient_pm2_5_air_pollution"," Savings (% of GNI)"," CO2 per cap."," Marine areas (%)","intentional_homicides","internet_use","region_code","region_name","sub_region_code","sub_region_name","iso_alpha3_code"," Developped"
"38","Chad",15.9,1284,12,11.2,700,25.8,1620,3.2,0.2,4.9,39.8,1140,114,0.5,142,28,41,13.4,44.3,-5.8,8.31176765653488,4.25032280267147,10.9,89.4,0.3,88.2,64.8,-4.18139170831391,0.1,20.4,4.23945406970615,6.5,2,"Africa",202,"Sub-Saharan Africa","TCD","Developing"
"39","Channel Islands",0.2,0.2,861,982.579895145689,54968.5977199218,874.506030731249,65638.9855908115,3.84141664851016,2.32964311166297,7.00451485862272,12.6139390430101,78.7311934650512,17.8683540323047,3.69656284643431,209.473229081972,7.61862714047193,88.0067545772122,0.5,1.5,1.85772081927099,92,90,93.9487474492176,14.934837496547,2.10837451344669,30.1733397201638,31.1079315702617,14.6381827363767,21.7557724012567,42.0202774458662,6.40358306721152,96.8886501705814,NA,NA,NA,NA,NA,NA
"40","Chile",19,756.7,25,284.5,15010,457.6,24140,1.1,-0.1,5.8,1.8,13,7,0.46,18,13,96,0.7,1.7,0.6,98.6,77.5,100,24.9,0.4,9,20.9,2.1,4.5,27,3.4,82.3,19,"Americas",419,"Latin America and the Caribbean","CHL","Developing"
"41","China",1397.7,9562.9,148,14554.3,10410,23403.2,16740,6.1,5.7,6.5,8.1,29,8,3.357492765207,61,18,109.028484415095,7.8,21.1,6.6,54.810728108544,72.1,100,12.4,2.1,25.2,52.2,18.7,7.5,14.6,0.7,54.3,142,"Asia",30,"Eastern Asia","CHN","Developing"
"42","China",1397.7,9562.9,148,14554.3,10410,23403.2,16740,6.1,5.7,6.5,8.1,29,8,5.67349515894771,61,18,117.935934031836,7.8,21.1,6.6,84.725087453507,72.1,100,12.4,2.1,25.2,52.2,18.7,7.5,14.6,0.7,54.3,142,"Asia",30,"Eastern Asia","HK",""
"43","China",1397.7,9562.9,148,14554.3,10410,23403.2,16740,6.1,5.7,6.5,8.1,29,8,2.51343388530439,61,18,113.215815651758,7.8,21.1,6.6,42.7760592843748,72.1,100,12.4,2.1,25.2,52.2,18.7,7.5,14.6,0.7,54.3,142,"Asia",30,"Eastern Asia","MO",""
"44","Colombia",50.3,1141.7,45,327.7,6510,762.4,15150,3.3,1.9,4,12.7,83,14,0.4,33,19,107,2,5.7,0.7,73.2,17,98.5,23.6,0.3,13.1,16.6,0.1,1.8,15.7,26.9,62.3,19,"Americas",419,"Latin America and the Caribbean","COL","Developing"
"45","Comoros",0.9,1.9,447,1.2,1420,2.7,3220,2.7,0.5,4.5,31.1,273,63,0.01,35,27,77,9.5,17.6,0.5,39.7216659543735,38.4236197681909,79.4,45.3,-0.368782573811251,69.6,20.5,2.2,0.2,0.1,45.5700516989399,8.5,2,"Africa",202,"Sub-Saharan Africa","COM","Developing"
"46","Congo, Dem. Rep.",86.8,2344.9,37,45.3,520,96.2,1110,4.4,1.1,5.5,42.7,473,85,0.31,321,34,70,7.3,31.1,0.5,24.7837791034334,107.592199617113,18.2,95.8,0.4,74.8,45.5,0.1,0.1,13.8,4.4710982094758,8.6,NA,NA,NA,NA,NA,NA
"47","Congo, Rep.",5.4,342,15,9.4,1750,16.5,3060,-0.9,-3.4,4.2,21.2,378,48,2.5,375,27,75.35889110282,5.2,5.7,-3.8,45.4,22.1358059957794,64.7,62.4,-1.3722218914713,46.9,45.7,-39.9,0.7,36.8,7.49170881197857,8.7,NA,NA,NA,NA,NA,NA
"48","Costa Rica",5,51.1,98,59.1,11700,97.2,19250,2.1,1.1,4.3,7.09207259787378,27,9,0.33,10,17,99,1.1,2.8,2.3,93.8,38.805441009887,99.6,38.7,0.4,5.5,15.7,16.6,1.6,3,11.5,71.6,19,"Americas",419,"Latin America and the Caribbean","CRI","Developing"
"49","Cote d'Ivoire",25.7,322.5,79,58.9,2290,136,5290,6.9,4.2,5.7,21.6,617,79,0.8,142,24,75,10.6,15.3,4.4,36.5,-0.271357798115503,65.6,64.5,0.1,56,26.7,21.3,0.5,14.9,19.8804717442136,43.8,NA,NA,NA,NA,NA,NA
"50","Croatia",4.1,56.6,73,60.6,14910,120.1,29520,2.9,3.5,7.4,14.0308283783034,8,5,0.04,8,8,95,0.9,1.7,1.8,90,58.5,100,33.1,0.8,28.6791562512191,17.8,14.2,4,23.6,0.9,67.1,150,"Europe",39,"Southern Europe","HRV","Developed"
"51","Cuba",11.3,109.9,109,-1562.19288991422,18324.7441687935,-2769.49584371912,31113.2567527686,2.2,2.3,7.31221733221477,5.01860824192032,36,5,0.26,7,9,84,2.2,1.9,-0.634085590373362,96.802520255959,44.3,99.9,19.3,0.4,6.6,19.7,-0.414452305597671,2.4,7.2,5.5,57.1,19,"Americas",419,"Latin America and the Caribbean","CUB","Developing"
"52","Curacao",0.2,0.4,361,3.1,19610,4.1,25860,-2.2,-1.9,6.95344454971498,14.340412406256,7.8344291115711,14.9678208257329,0.0191990968193081,6,7.03092443651442,99.2417876573437,-0.22983501069309,-4.59341292810069,-0.387367334362782,57.1427008793659,54.2502135229893,100,0.3,0.870008995664775,4.87052610507962,20.6047657857791,12.8517959890588,37.7,0.3,32.1612652418394,68.1,NA,NA,NA,NA,NA,NA
"53","Cyprus",1.2,9.3,129,24.4,27710,35.1,39830,3.2,1.9,8.4,8.13657087119336,6,2,-0.471638945349629,5,5,102,0.6,0.7,1.3,99.6,75.5,100,9.9,0.5,18.6397740384437,17,7.4,5.3,1.7,1.3,80.7,142,"Asia",145,"Western Asia","CYP","Developed"
"54","Czech Republic",10.7,78.9,138,234.7,22000,433.9,40660,2.6,2.2,10.2,11.4138734020114,3,3,0.689461379670634,5,6,99,0.2,0.9,1.5,97.9,94.5,100,14.8,1.9,4.59222810876224,16.1,10.2,9.2,22.2,0.8,78.7,NA,NA,NA,NA,NA,NA
"55","Denmark",5.8,42.9,138,367.9,63240,357.3,61410,2.4,1.9,9.1,-7.39817004671237,4,4,0.954517766900043,5,4,101,0.3,0.5,1.2,96.7,94.8,100,33.2,3.1,0,10.1,19.1,5.9,17.9,1.1,97.1,150,"Europe",154,"Northern Europe","DNK","Developed"
"56","Djibouti",1,23.2,41,3.4,3540,5.8,5980,7.5,5.9,5.4,33.5,248,58,0.16,260,25,66,5.1,13.2,4.5,18.4014914967118,36.4,60.2,15.4,1.87088107697663,65.6,45.9,17,0.7,1.2,28.9079507459802,55.7,2,"Africa",202,"Sub-Saharan Africa","DJI","Developing"
"57","Dominica",0.1,0.8,96,0.6,8090,0.9,12460,5.7,5.4,8.65726841039815,16.780315557094,213.743426164596,35,-1.94727718605085,6,11,114,-0.954300441254015,5.95342825590129,4.7297087473542,51.7654883057921,70.7632499105736,100,7.8,2.84124519148203,26.7409462376176,20,42.1702372568203,2.5,0.7,12.6,69.6,19,"Americas",419,"Latin America and the Caribbean","DMA","Developing"
"58","Dominican Republic",10.7,48.7,220,86.9,8090,196.3,18280,5.1,4,5.8,7.1,95,28,0.45,45,35,93,1.2,2.7,3.5,96.1392712318234,96.1061579197331,100,16.5,1.89612795902887,12.1,13.7,18.2,2.2,19.2,15.5,67.6,19,"Americas",419,"Latin America and the Caribbean","DOM","Developing"
"59","East Asia & Pacific",2340.6,24827.7,95,27445.5,11726,43119.4,18422,3.8,3.2,2.51482220366803,11,69,14,4.40469658502131,133,17,98,7.3,20.2,4.5,60.9546488277391,63.5,97.9,13.9,2.4,25.8,39.5,15.5,6.2,17.9,1.4,54.9,NA,NA,NA,NA,NA,NA
"60","Ecuador",17.4,256.4,69,105.6,6080,199.9,11500,0.1,-1.6,4.6,23.9,59,14,0.24,44,21,104,6.8,21.1,-2.2,75.1,42,99.2,13.8,0.4,36,15,7.4,2.9,15,6.5,54.1,19,"Americas",419,"Latin America and the Caribbean","ECU","Developing"
"61","Egypt, Arab Rep.",100.4,1001.5,99,270.2,2690,1185.1,11810,5.6,3.5,9,22.3,37,20,0.09,12,10,101,4,25.3,3.2,95.0729957225479,60.7,100,5.7,0.7,10.6,88.1,1.3,2.5,11.6,2.6,45,NA,NA,NA,NA,NA,NA
"62","El Salvador",6.5,21,310,25.8,4000,56.1,8700,2.4,1.9,6.2,13.6,46,13,0.23,70,22,87,5,7.2,1.3,21.0316055272534,-8.31250994034633,96.8,24.4,0.1,28.9,24.7,4.8,1,2.2,105.2,33.8,19,"Americas",419,"Latin America and the Caribbean","SLV","Developing"
"63","Equatorial Guinea",1.4,28.1,47,8.8,6460,19.8,14600,-5.6,-8.8,2.20514870097086,26.2,301,82,6.48,201,25,41,4.8,13.9,-11,88.8076497236863,12.321608699083,66.8,7.8,0.134383644509367,66.2,54.5,-23.5168455355727,6.5,1.8,33.3987019838143,26.2,2,"Africa",202,"Sub-Saharan Africa","GNQ","Developing"
"64","Eritrea",92.4162903564271,117.6,727.970113207601,5483.76858259103,-10932.5365788029,5705.05322149906,-10991.4994379227,5.53118938763922,3.5225724108308,3.26130408213358,32.5208105332145,480,41,0.15,89,25,60,27.3,50.5,2.37651848795954,20.6332142813045,-30.9859882515734,48.3,79.8,-1.53738732956544,67.9601552274903,48.7,17.6647857557569,0.2,3,8.40327719550111,1.3,2,"Africa",202,"Sub-Saharan Africa","ERI","Developing"
"65","Estonia",1.3,45.3,30,30.8,23220,50.4,38010,4.3,4,8.1,2.26023116041991,9,2,1.08280869785988,13,6,97,0.2,0.2,3,93.3,97.4,100,27.5,1.5,6.16682026054274,6.8,15.6,13.8,19.5,3.4,88.1,150,"Europe",154,"Northern Europe","EST","Developed"
"66","Eswatini",1.1,17.4,66,4.1,3590,9.1,7940,2,1,3.7,25.5,437,49,9.77,329,27,94,2.4,2.8,-0.7,159.811740283939,-7.5800325622163,73.5,66.1,0.3,32.7,17.1,7.7,0.8,4.2,10.1,30.3,2,"Africa",202,"Sub-Saharan Africa","SWZ","Developing"
"67","Ethiopia",112.1,1104.3,109,95.1,850,257.8,2300,8.3,5.5,7.3,36.8,401,51,0.23,151,27,54,23,56.7,5,11.4,122.196149810144,44.3,92.2,0.3,73.9,39.2,4.4,0.1,18.5,8.8,18.6,2,"Africa",202,"Sub-Saharan Africa","ETH","Developing"
"68","Europe & Central Asia",921.1,28691,33,23178.8,25163,33674.1,36557,1.5,1.2,-7.55983011659454,-6.12199449624454,13,8,-0.634594114978144,28,9,98,1.7,3.6,1.3,91.8,67.4,100,13.1,1.9,19.126258584947,18,10.5,7,9.4,3.3,74.6,NA,NA,NA,NA,NA,NA
"69","Faroe Islands",0,1.4,35,-1589.05535814794,25896.7612430321,-2257.2746449733,41199.1734817841,-1.66349282037085,-2.07974082104695,10.0333581189714,-1.21618924315977,-195.954743410746,4.18258439926143,-1.54708764317082,-74.0567212501718,5.53160248097674,96.1689866581019,-5.73657089819572,-5.96677103871854,0.394635123291082,85.2688871550151,95.8435148954043,100,7.5,0.478465201571496,22.5813651017131,10.1705963854927,13.8609461025314,12.5,0,7.5463693059644,97.6,150,"Europe",154,"Northern Europe","FRO","Developed"
"70","Fiji",0.9,18.3,48,5.2,5860,11.8,13260,1.1,0.3,7.5,11.5844413765541,34,26,0.26,54,10,107,15,29.3,3.6,61.6934204310142,31.2241339242154,96,31.3,1.0239256524379,10.8,11.1,33.9328846793009,1.9,1,2.3,50,9,"Oceania",54,"Melanesia","FJI","Developing"
"71","Finland",5.5,338.5,18,273.7,49580,282.7,51210,1,0.9,9.4,-0.690029407211934,3,2,1.91472826020153,5,5,100,0.5,0.4,1.1,99.6,99.2,100,43.2,2.9,-6.26118047147541,5.9,10.2,8.6,14.2,1.5,87.5,150,"Europe",154,"Northern Europe","FIN","Developed"
"72","France",67.1,549.1,122,2843,42400,3379.2,50390,1.5,1.4,8.1,6.13045648227165,8,5,0.19,9,6,109.805919270218,0.1,0.5,1,97.9,88.4,100,13.5,2.3,10.8817875503778,11.9,9.2,4.6,33.2,1.6,80.5,150,"Europe",155,"Western Europe","FRA","Developed"
"73","French Polynesia",0.3,4,76,-1971.48151057032,9825.0754229075,-1734.44745105364,18260.0655062361,5.24591692175239,2.91134503208289,9.0470924725855,12.8493419473344,-263.339655075325,-14.4816214058372,0.651639504189424,22,19.6085829182244,110.276231883378,0.5,0.5,2.33492562233114,115.244754537817,97.672960496061,100,9.8,1.00440933029617,12.3826970547023,31.8961443122886,14.9083033011025,2.7,0,-6.02993984389822,72.7,9,"Oceania",61,"Polynesia","PYF","Developing"
"74","Gabon",2.2,267.7,8,15.7,7210,31.3,14420,3.4,0.9,6,17,252,43,1.07,525,23,91.4336815185003,0.7,1.7,-2.3,51.891769113479,52.9913791888829,91.9,82,-0.269457442120423,37,43.7,20.4,2.8,25.1,2.30254172360352,50.3,2,"Africa",202,"Sub-Saharan Africa","GAB","Developing"
"75","Gambia, The",2.3,11.3,225,1.7,740,5.3,2260,6,2.9,7.4,13.6,597,52,1.77,174,30,79,10.9,13.1,1,55.0644717240088,33.4893324688037,56.2,51.5,0.1,34.8,32.6,-8.1,0.3,1.4,-2.86030602353345,19.8,NA,NA,NA,NA,NA,NA
"76","Georgia",3.7,69.7,65,17.6,4740,55.9,15020,5.1,5.3,6.5,12.8188800865356,25,10,2.17334816051713,80,15,96,12.7,28.1,3.9,80,27.2,100,28.7,0.3,34.1,21.8,7.7,2.4,6.4,1,59.7,142,"Asia",145,"Western Asia","GEO","Developing"
"77","Germany",83.1,357.6,237,4033.5,48520,4795.7,57690,0.6,0.3,7.6,1.7,7,4,1.12827765162306,7,4,101,0.2,0.5,0.9,99.8,97.2,100,14.2,2.9,0,11.9,14.3,8.9,38.8,0.8,84.4,150,"Europe",155,"Western Europe","DEU","Developed"
"78","Ghana",30.4,238.5,131,67.5,2220,167.7,5510,6.5,4.2,4.7,17.5,308,46,1.1,148,25,94,5.5,13.5,2.4,36.4,68.3303522786447,79,41.4,1.24077481675872,37.9,36.3,-6.7,0.6,7.8,1.9,37.9,2,"Africa",202,"Sub-Saharan Africa","GHA","Developing"
"79","Greece",10.7,132,83,217.8,20320,336,31350,1.9,2,6.6,9.00847452361226,3,4,-0.615326872329017,5,9,98,2.3,5.6,-1.2,100,90.4,100,17.2,1,3,16.3,-3.1,6.2,11,0.9,69.9,150,"Europe",39,"Southern Europe","GRC","Developed"
"80","Greenland",0.1,410.5,0,-635.394356925769,-370.534468220625,286.707806064082,15916.492294446,3.2,3.5,6.35941894206862,4.62569849858945,-49.3831500359785,0.92971126006352,0.971076701522732,100,13.834934314536,94.6619904352197,-5.14887178185231,-9.90690244671447,1.38473499760918,96.7,94.8,100,15.5,0.28019044957304,30.1996666063025,11.6,3.83368376533926,9,22.4,7.1,69.5,19,"Americas",21,"Northern America","GRL","Developed"
"81","Grenada",0.1,0.3,328,1.1,9980,1.8,16250,3.1,2.6,6.71160982128856,3.86924777799269,25,17,0.00271725232628528,2,9,123,-7.13295761502777,-5.9511385485662,2.58997161733335,87.1,93.0406528050402,94.5,10.9,1.65654021125666,6,22.9,4.2542172534542,2.2,0.2,5.5,59.1,19,"Americas",419,"Latin America and the Caribbean","GRD","Developing"
"82","Guam",0.2,0.5,307,-1204.10869536308,22885.8451685408,-1195.88497480718,26986.2964337707,-0.3,-1.2,8.13068238902995,3.17738961866595,60.2156771070524,1.95677175405194,2.24558308055784,49,13.7722879119253,102.497290421635,0.3,1.1,-1.5638013253505,99.5,40.420240806091,100,0,1.67074221023114,0.175074613803403,11.7,10.2263569323676,6.33249092281704,0.1,19.6843565833084,80.5,9,"Oceania",57,"Micronesia","GUM","Developing"
"83","Guatemala",16.6,108.9,153,76.5,4610,146.9,8850,3.8,2.2,4.5,46.7,95,25,0.12,26,17,80,8.4,11.9,-0.1,56,-24.3885004159167,93.3,63.7,0,38.7,23.8,1.9,0.9,10.1,29.4,40.7,19,"Americas",419,"Latin America and the Caribbean","GTM","Developing"
"84","Guinea",12.8,245.9,51,12.1,950,32.2,2520,5.6,2.6,7.6,30.3,576,99,0.68,176,28,60,22.6,35.7,5.6,17.7843704483921,64.066373412154,35.4,76.3,0.797005961077874,43.3,24.8,-12.1,0.2,24.8,-2.41589838729314,11.4,2,"Africa",202,"Sub-Saharan Africa","GIN","Developing"
"85","Guinea-Bissau",1.9,36.1,67,1.6,820,4.3,2220,4.6,2.1,4.5,27.6,667,79,1.85,361,31,61.5943500070126,16.6,31.6,2.4,9.33702625015631,17.8524630317638,26,86.9,-1.13985997294113,82.3,29.6,-7.6,0.2,11.6,2.8,3.9,2,"Africa",202,"Sub-Saharan Africa","GNB","Developing"
"86","Guyana",0.8,215,4,4.1,5180,7.7,9900,4.7,4.2,6.42171990491346,11.3,169,29,0.71,83,25,98.1602247304703,1.7,7.8,2.1,81.7764389037908,50.6217513468384,90.9,25.3,0.50975142491524,33.1,22.4,4.8,2.6,5.3,19.4,37.3,19,"Americas",419,"Latin America and the Caribbean","GUY","Developing"
"87","Haiti",11.3,27.8,404,8.9,790,20.2,1790,-0.9,-2.2,5.5,21.9,480,63,0.79,176,15,88.1929537981638,16,28.2,-0.9,2.48729071328491,-18.0202646485514,43.8,76.1,-0.783650968725447,74.4,15.1,16.6,0.3,0.4,10,12.3,19,"Americas",419,"Latin America and the Caribbean","HTI","Developing"
"88","High income",1235.9,37468.3,35,55993.1,45307,64662,52322,1.7,1.2,-15.0677605899011,2.8,11,5,-3.38062037920241,11,8,98,0.5,1.7,0.7,98.7,86,100,11.3,2.5,48.3079956945133,14.5,9.1,10.8,19,2.2,85.4,NA,NA,NA,NA,NA,NA
"89","Honduras",9.7,112.5,86,23.3,2390,53.7,5510,2.7,1,3,22.6,65,17,0.19,37,17,79,8.1,12,0.1,49.8899943418988,11.1989064642056,86.5,51.5,0,27.5,21.1,22.4,1.1,10.9,56.5,32.1,19,"Americas",419,"Latin America and the Caribbean","HND","Developing"
"90","Hong Kong SAR, China",7.5,1.1,7096,381.7,50840,492.5,65600,-1.2,-1.9,9.36924895691102,22.2424196797509,716.725134811424,-1.76719137407369,5.17730555938456,67,14.4754200913579,104,0.1,0.5,2.5,100,91.8,100,0.9,0.8,47.8798333653303,-4.32546553998364,-33.214987517959,6.3,48.9,0.3,89.4,NA,NA,NA,NA,NA,NA
"91","Hungary",9.8,93,108,157.7,16140,320,32750,4.9,5,7.9,8.13618113860765,12,4,-1.01558536572998,6,8,99,0.2,0.3,1.9,89.6,95.7,100,15.6,1.4,13.6,15.9,12.3,4.2,22.6,2.3,76.8,150,"Europe",151,"Eastern Europe","HUN","Developed"
"92","Iceland",0.4,103,4,26.3,72850,22.1,61170,1.9,-0.5,9.5,-8.26376005012052,4,2,2.1585322154909,3,7,99,0.2,0.4,2.8,100,81.8,100,77,2.2,-2.05693944487302,6.6,14.3,6.1,2.5,0.9,98.3,150,"Europe",154,"Northern Europe","ISL","Developed"
"93","India",1366.4,3287.3,455,2910.8,2130,9507.2,6960,5,4,8.1,34.7,145,34,3.79485124716134,199,23,92,7.9,30.2,6,47.4750088225144,25.5530956565962,92.6,36,0.7,24,89.7,19.1,1.7,3.5,3.4,32,142,"Asia",34,"Southern Asia","IND","Developing"
"94","Indonesia",270.6,1913.6,148,1097.2,4050,3229.6,11930,5,3.9,6.9,30.5,177,24,-0.693842040126744,316,12,102,6.3,24.4,2.9,56.7050735130869,55.8523680518654,98.1,36.9,0.2,21.8,16.4,13.8,1.5,5.3,0.6,32.3,142,"Asia",35,"South-eastern Asia","IDN","Developing"
"95","Iran, Islamic Rep.",82.9,1745.2,50,437.6,5420,1174.8,14560,3.8,2.3,5.9,6.8,16,14,0.08,14,21,99,2.4,18.2,-0.349958475693435,91.8,85.7219228114683,100,0.9,0.4,23.9,38.8,-1.35723991046057,8.4,7.7,2.5,64,NA,NA,NA,NA,NA,NA
"96","Iraq",39.3,435.1,89,225.7,5740,443.3,11280,4.4,2.1,8.8,12.6,79,26,-0.327530311017698,42,21,88.2743843146118,4.3,4.8,2.3,58.8,41.1,99.9,0.8,0,47.2,64,-1.5,4.8,1.5,10.1,49.4,142,"Asia",145,"Western Asia","IRQ","Developing"
"97","Ireland",4.9,70.3,71,307.4,62210,336.3,68050,5.5,4,7.9,-6.72646554095271,5,3,-1.63725382618015,7,4,97,0.5,0.6,3.5,97.3,82.4,100,9.1,1.2,7.3931622704773,8.3,16.2,7.3,4,0.7,84.1,150,"Europe",154,"Northern Europe","IRL","Developed"
"98","Isle of Man",0.1,0.6,148,6.3,75340,-24.1462471039163,71612.1936407271,3.6,3.2,8.06361329799482,1.68888592480448,-69.2117922987773,-0.287543911634089,1.91514091964714,33.7911682882997,-6.43610473162784,79.1656234181555,-0.0407724324029646,0.939393344431222,3.41119553310657,97.2,91.5122612824983,100,4.2,4.58328020003088,-21.333727571695,9.25702266239394,21.4275911094962,15.8184225932244,4.2,1.2,106.028087652223,150,"Europe",154,"Northern Europe","IMN","Developed"
"99","Israel",9.1,22.1,410,391.9,43290,381.5,42140,3.5,1.6,5.1,21.1706314067954,3,4,2.05738320251603,4,4,102,0,0.1,1.3,99.4,93.7,100,3.7,4.3,-20.1527885088886,20.8,15.6,7.7,8.6,1.4,81.6,142,"Asia",145,"Western Asia","ISR","Developed"
"100","Italy",60.3,301.3,205,2077.7,34460,2687.8,44580,0.3,0.5,6,-0.590231425910531,2,3,0.09,7,6,98,0.9,1.6,0.1,95,96.2,100,16.5,1.3,12.4413623905401,16.5,6.1,5.3,13.4,0.8,63.1,150,"Europe",39,"Southern Europe","ITA","Developed"
"101","Jamaica",2.9,11,271,15.5,5250,28.8,9770,0.7,0.2,3.74607806648935,6,80,14,0.91,3,14,86,0.6,1.4,-1.9,51.5020989604615,-6.42746485874034,98,16.8,-0.271746237928422,60.5,13.4,17.4,2.5,1.4,41.8,55.1,19,"Americas",419,"Latin America and the Caribbean","JAM","Developing"
"102","Japan",126.3,378,347,5263.5,41690,5654.4,44780,0.7,0.9,7.7,7.8526722108673,5,3,2.0098364333526,14,4,90.5946763053839,0.8,4.1,-0.3,98.5,98.8,100,6.3,3.3,7.98068210638761,11.6,7.6,9.5,10,0.3,91.7,142,"Asia",30,"Eastern Asia","JPN","Developed"
"103","Jordan",10.1,89.3,112,43.5,4300,103.5,10240,2,0.5,8.2,7.8,46,16,-1.64383778406352,5,24,73,0.5,0.3,-0.7,93.8,80.6,100,3.2,0.7,12.9,33.2,1.6,3,1.8,1.6,66.8,142,"Asia",145,"Western Asia","JOR","Developing"
"104","Kazakhstan",18.5,2724.9,7,163.1,8810,445.2,24050,4.5,3.2,9.8,8,10,11,0.36,68,18,110,0.1,0.1,3.3,89.5,77.5251715164757,100,1.6,0.2,31.3454905445072,13.1,5.8,14.4,3.2,4.9,76.4,142,"Asia",143,"Central Asia","KAZ","Developing"
"105","Kenya",52.6,580.4,90,91.8,1750,232.3,4420,5.4,3,6.2,26.2,342,43,1.47,292,28,100,6,8.9,2.1,52.2520952860259,68.2314898466024,63.6,72.7,-0.536694805488102,56,28.6,-4.4,0.3,10.5,4.7,17.8,2,"Africa",202,"Sub-Saharan Africa","KEN","Developing"
"106","Kiribati",0.1,0.8,143,0.4,3350,0.5,4650,2.2,0.7,5.83622766202624,39.9361309714163,92,51,1.34364468491122,349,4,101,11.9183328323908,31.5784133388198,0.193701356379585,68.0769733388836,31.2964534434291,98.6,4.3,1.07302627705425,28.8884042801974,10.5,15.6942803388893,0.5,11.8,7.5,14.6,9,"Oceania",57,"Micronesia","KIR","Developing"
"107","Korea, Dem. Peopleâ€™s Rep.",25.7,120.5,212,2619.17344445525,9565.61380546543,3122.31465779651,14791.6323541449,8.51486430971916,6.5000609143669,4.04956105858637,19.1,89,17,4.31409392882242,513,21,64.732191293132,26.6,75.8,2.52510463556312,66.6,13.511335736805,46,23.1,-0.614624602024988,60.9333258413483,31.8,12.8223594140651,1.3,1.3,-21.864264262752,27.856440476424,NA,NA,NA,NA,NA,NA
"108","Korea, Rep.",51.7,100.3,529,1743.7,33720,2245.5,43430,2,1.8,7.3,13.8347699804073,11,3,3.09846770281095,66,10,95,0.9,8.5,2.1,98.2,99.9,100,2.7,4.2,-12.0120141426599,25.1,21,11.6,4,0.7,95.1,NA,NA,NA,NA,NA,NA
"109","Kosovo",1.8,10.9,165,8.3,4640,21.7,12090,4.2,4.3,9.2,5.85789984865614,39.8076443399743,2.89055718811897,-0.612262945029896,-33.3893940110206,15.6639924193531,114.871986395546,2.337058030853,7.55890098553661,2.02344299138294,63.9065822979662,63.3143106598818,99.8,20.5,1.30143697320953,26.6936438227384,30.4344303445381,8.98135300640436,4,12.3530236156835,2.3,83.9,NA,NA,NA,NA,NA,NA
"110","Kuwait",4.2,17.8,232,141.9,34290,247.1,59720,0.4,-1.3,7.23499711447685,6.4,12,8,-1.77861193516915,23,18,92,0,0,-3,100,100,100,0,0.1,11.4989596802484,60.8,16.8,23.9,11,1.8,98,142,"Asia",145,"Western Asia","KWT","Developing"
"111","Kyrgyz Republic",6.5,200,33,8,1240,32.7,5070,4.5,2.3,9.9,11.8,60,18,0.25,116,15,105,4.1,11.2,3.4,68.2,-7.41386805284914,100,23.3,0.1,9.7,23.2,7.4,1.8,6.7,5.1,38.2,NA,NA,NA,NA,NA,NA
"112","Lao PDR",7.2,236.8,31,18.4,2570,57.1,7960,4.7,3.1,7.6,33.1,185,46,0.19,162,17,98,20,36,4.5,16.1,58.1,93.6,59.3,0.937511580057159,31.4,25.8,-6,0.7,16.7,9.83813821802221,25.5,NA,NA,NA,NA,NA,NA
"113","Latin America & Caribbean",646.4,20425.5,32,5672.6,8775,10473.5,16202,0.8,-0.1,3.68043821124953,9,74,16,0.0734405441970596,43,18,98,3,7,0.1,74.3,31.3,97.9,27.6,0.8,21.1,16.7,6,3.1,21.7,22.3,62.5,NA,NA,NA,NA,NA,NA
"114","Latvia",1.9,64.5,31,33.9,17730,60.8,31770,2.2,3,6.7,-0.938889618809892,19,4,0.38,29,9,98,0.6,0.4,2.6,95.2,85.8,100,38.1,0.6,11.7842874670608,13.4,4,3.5,17.5,3.4,80.1,150,"Europe",154,"Northern Europe","LVA","Developed"
"115","Lebanon",6.9,10.5,669,52.1,7600,104.6,15260,-5.6,-5.7,7.9,5.63793251489852,29,7,0.05,11,18,98.4055234482723,3,4.3,-2.2,47.7,21.8,100,3.6,-0.651991222892873,53.1,30.2,-20.4,3.8,1,3.5,78.2,142,"Asia",145,"Western Asia","LBN","Developing"
"116","Lesotho",2.1,30.4,69,2.9,1360,7,3290,1.5,0.7,4.6,34.6,544,86,11.35,611,29,86,3.4,3.2,-0.4,134.007303865367,-70.736077890933,33.7,52.1,0,50.8,28.3,1.9,1.2,0.3,43.6,29.8,2,"Africa",202,"Sub-Saharan Africa","LSO","Developing"
"117","Liberia",4.9,111.4,50,2.9,580,6.5,1320,-2.3,-4.6,7.2,30.1,661,85,0.74,308,36,61,7,10.1,-2.6,25.5163493954919,82.5183853739827,24.2,83.8,-1.90084854111491,65.7,17.9,-82.8,0.3,1.2,3.3,8,2,"Africa",202,"Sub-Saharan Africa","LBR","Developing"
