"","country","population","surface_area","population_density","gross_national_income_atlas_method","gross_national_income_per_capita_atlas_method","purchasing_power_parity_gross_national_income","PPP Income per cap","gross_domestic_product"," GDP growth per cap "," Share of Income (<20%)"," Child malnutrition (%)","maternal_mortality_ratio","under_five_mortality_rate"," HIV (per 1000)"," Tuberculosis (per 100k)"," Road Mortality (per 100k)","primary_completion_rate"," Male employment (%)"," Female employment (%)","labor_productivity"," Pop. Access Water (%)"," Pop. Access Sanitary (%)","access_to_electricity","renewable_energy_consumption","expenditures_for_r_d"," Slums Pop.(%)","ambient_pm2_5_air_pollution"," Savings (% of GNI)"," CO2 per cap."," Marine areas (%)","intentional_homicides","internet_use","region_code","region_name","sub_region_code","sub_region_name","iso_alpha3_code"," Developped"
"208","Turkey",83.4,785.4,107,801.4,9610,2287,27410,0.9,-0.5,5.8,6,17,10,2.88809250706401,16,12,89,4.4,23.5,1.4,103.367490762125,65.2,100,13.4,0.9,11.9,44.5,11.9,4.5,0.2,2.8,64.7,142,"Asia",145,"Western Asia","TUR","Developing"
"209","Turkmenistan",5.9,488.1,12,39.4,6740,85.2,14560,6.2,4.5,7.07340453033626,11.5,7,42,-1.91354983522128,46,15,81.9508949034633,2.7,5.6,4.6,93.9,99.914369864347,100,0,-0.1024121902746,11.3534245242538,21.7,4.49139438203762,12.5,3.2,15.8028704504986,21.3,142,"Asia",143,"Central Asia","TKM","Developing"
"210","Turks and Caicos Islands",0,1,40,1,26740,1,26210,5.3,3.7,8.46297983741424,5.80439205210736,3.10964766056685,-11.1268872205152,-0.0570876812019663,6,9.78653569927983,129,2.00734006626214,5.90883617303067,3.18522626997233,77.1503924601769,61.2465357839486,100,0.6,0.827424066837008,20.108207633075,13.3791530843675,0.252559524504834,5.6,0.4,5.7,59.7241717879037,19,"Americas",419,"Latin America and the Caribbean","TCA","Developing"
"211","Tuvalu",0,0,384,0.1,5620,0.1,6170,9.8,8.5,6.6,35.3046059978449,30.353144384582,24,1.73084216225872,270,6.09255355007264,79,14.0645510565652,35.8644214734511,2.5237318166746,76.9329458354617,6.3,99.9,0,1.40668742743925,41.5415763619179,28.8467418431674,38.5066556842333,1,0,18.6,49.3,9,"Oceania",61,"Polynesia","TUV","Developing"
"212","Uganda",44.3,241.6,213,34.4,780,97.9,2210,6.5,2.8,6.1,28.9,375,46,2.61,200,29,53,12.3,18.9,0.7,7.1,-26.8781092638352,31.8,89.1,0.2,53.6,51.9,-7.2,0.1,16.1,11.3,23.7,2,"Africa",202,"Sub-Saharan Africa","UGA","Developing"
"213","Ukraine",44.4,603.6,77,141.6,3370,578,13750,3.2,3.8,9.9,0.05661325001142,19,8,0.56,80,14,95.4282220239431,0.2,0.3,3.4,92,68.5,100,4.1,0.6,19,20.6,3.9,5,3.9,6.2,58.9,150,"Europe",151,"Eastern Europe","UKR","Developed"
"214","United Arab Emirates",9.8,83.6,136,424.8,43470,686.3,70240,1.7,0.2,6.2,-2.3404275158561,3,8,-0.783109454604511,1,18,104,0.2,1.6,1.5,96.7280396510805,96.3,100,0.1,0.9,-6.36400237203805,40.5,19.1150091445729,24.5,15,0.6,94.8,142,"Asia",145,"Western Asia","ARE","Developing"
"215","United Kingdom",66.8,243.6,275,2831.8,42370,3210.9,48040,1.4,0.8,7.1,-3.81825920478964,7,4,0.307466323434456,8,3,101,0.3,0.4,0.4,100,97.8,100,8.7,1.7,7.93409356270296,10.5,4.1,6.5,28.8,1,90.4,NA,NA,NA,NA,NA,NA
"216","United States",328.2,9831.5,36,21584.4,65760,21625,65880,2.3,1.8,5.2,3.5,19,7,0.22,3,12,100,0,0.1,0.7,99,90,100,8.7,2.7,45.14679725312,7.4,5.9,16.4,26.3,4.9,87.3,NA,NA,NA,NA,NA,NA
"217","Upper middle income",2855.9,59108,49,25914,9074,49211.5,17232,3.8,3.2,-6.06195672303148,6,57,13,-1.21387829057971,66,18,96,5.9,16.9,3.9,54.184118743053,59.6,99.2,14.4,1.5,23.3,36.9,13.7,6.2,12.9,6.7,56.4,NA,NA,NA,NA,NA,NA
"218","Uruguay",3.5,176.2,20,56.2,16230,73.1,21120,0.2,-0.1,5.9,10.7,17,7,0.248818142392601,33,13,103,0.4,1.2,2.2,70.0015410193586,61.5037805068791,100,58,0.4,25.9510621928037,9.2,6.7,2,2.3,8.6,70.3,19,"Americas",419,"Latin America and the Caribbean","URY","Developing"
"219","Uzbekistan",33.6,447.4,77,60.4,1800,248.5,7400,5.6,3.6,7.88368526261517,10.8,29,17,0.18,70,12,103,6,12.7,3.6,58.9,30.0715474472978,100,3,0.2,52.2,27.8,27.9,3.4,3.4,1.6,48.7,142,"Asia",143,"Central Asia","UZB","Developing"
"220","Vanuatu",0.3,12.2,24,1,3170,1,3310,2.9,0.4,6.7,28.9,72,26,0.665397171807944,46,16,88.7930651846722,8.3,9.4,0.8,44.1,48.2343230613224,62.8,36.1,1.12342721772408,53.2359106161383,11.6,25.3,0.6,0.1,22.6570983334954,25.7,9,"Oceania",54,"Melanesia","VUT","Developing"
"221","Venezuela, RB",28.5,912.1,33,-981.77548231951,-4757.25726576016,-180.875135280053,-363.629937688587,-0.863433964808612,-0.684948296177521,4.65328370681391,2.6166053459806,125,24,0.33,48,34,93,1.2,2.4,1.98370161527066,50.8849584934795,23.8,99.2,12.8,0.3,32,16.8,7.4,6.2,36.9,52,64.3,NA,NA,NA,NA,NA,NA
"222","Vietnam",96.5,331.2,308,244.9,2540,747.2,7750,7,6,6.7,23.8,43,20,0.09,182,26,110,9.7,20.6,5.8,54.5942505104731,42.3923379975996,100,35,0.4,27.2,30.2,13.1,1.8,2.9,27.0796050031892,58.1,NA,NA,NA,NA,NA,NA
"223","Virgin Islands (U.S.)",0.1,0.4,306,-1117.7036847231,24612.8632334818,-831.642230160347,22171.8869984717,-1.7,-1.5,4.77820865399692,14.1528234608015,42.2199245418759,15.779518797457,1.39945697040927,102.465159261366,11.8408416202172,85.7055125678651,0.1,0.2,0.561720107128088,44.3975931053153,-19.0790834022776,100,3.9,1.23543182824395,45.1748499906125,10.3,11.315304147862,-1.04227893235725,1,49.3,64.4,NA,NA,NA,NA,NA,NA
"224","West Bank and Gaza",4.7,6,759,17,3710,30.8,6740,0.9,-1.6,7.3,7.4,27,19,0.527565323989755,1,21.6669151997455,97,3.5,8.8,1.6,74.0724775141108,61.2,99.7,10.5,0.5,22.650816804101,32.7,-4.55064312915322,0.7,8.14615245931143,1.2,65.2,NA,NA,NA,NA,NA,NA
"225","World",7673.5,132025.2,60,88781.5,11570,134984.3,17591,2.5,1.4,-13.1290561964201,21.3,211,38,0.37,132,18,89,6.6,18.1,2.3,70.6,45,88.8,18.1,2.1,29.6,45.2,10.7,0,14.5,5.9,49,NA,NA,NA,NA,NA,NA
"226","Yemen, Rep.",29.2,528,54,26.7,940,-438.823823394403,1541.84196506426,0.8,-1.6,7.3,46.4,164,58,0.07,48,22,72,10.7,40.1,0.38874070586853,60.2195186883033,66.740714262372,79.2,2.3,0.880695088773063,60.8,50.1,-11.6658353487147,1,0.6,6.8,26.7,NA,NA,NA,NA,NA,NA
"227","Zambia",17.9,752.6,23,25.9,1450,63.9,3580,1.7,-1.2,2.9,34.6,213,62,6.03,346,25,65.4290251580014,16.6,51.9,0.7,53.3366001162449,60.4541457571536,40.3,88,1.29851779595661,54,27.4,15.4,0.3,37.9,5.4,27.9,2,"Africa",202,"Sub-Saharan Africa","ZMB","Developing"
"228","Zimbabwe",14.6,390.8,37,20.4,1390,40,2730,-8.1,-9.4,6,23.5,458,55,4.87,210,35,66.6701828569865,7.6,11,1.7,44.7902195290776,32.2537067759208,40.5,81.8,1.13562498415372,25.1,21.7,-15.8,0.9,27.2,7.5,27.1,2,"Africa",202,"Sub-Saharan Africa","ZWE","Developing"
